"run_id","runtime","connections","repetition","url","pipelining","workers","duration_s","samples","start_utc","finish_utc","total_requests","requests_per_second","requests_per_second_sd","minimum_requests_per_second","maximum_requests_per_second","mean_latency_ms","median_latency_ms","p90_latency_ms","p97_5_latency_ms","p99_latency_ms","maximum_latency_ms","latency_sd_ms","bytes_per_second","bytes_per_request","errors","timeouts","mismatches","non_2xx","successful_2xx"
"bun_c010_r01","bun",10,1,"http://127.0.0.1:3000/json",1,0,20.02,20,"2026-08-03T11:41:44.341Z","2026-08-03T11:42:04.364Z",311156,15559.2,1729.71,8480,16728,0.15,0,0,3,3,28,0.69,2862617.6,183.982312715307,0,0,0,0,311156
"bun_c010_r02","bun",10,2,"http://127.0.0.1:3000/json",1,0,20.03,20,"2026-08-03T11:46:14.749Z","2026-08-03T11:46:34.777Z",231286,11565.2,914.9,8997,12346,0.27,0,0,4,4,79,1.3,2127718.4,183.97592778335,0,0,0,0,231286
"bun_c010_r03","bun",10,3,"http://127.0.0.1:3000/json",1,0,20.03,20,"2026-08-03T11:52:08.217Z","2026-08-03T11:52:28.242Z",319805,15991.2,1308.96,10393,16626,0.15,0,0,3,3,32,0.66,2942182.4,183.987593176247,0,0,0,0,319805
"bun_c050_r01","bun",50,1,"http://127.0.0.1:3000/json",1,0,20.06,20,"2026-08-03T11:43:33.457Z","2026-08-03T11:43:53.515Z",323787,16189.4,845.55,12832,17104,2.61,2,4,5,6,55,1.16,2978816,183.997924567927,0,0,0,0,323787
"bun_c050_r02","bun",50,2,"http://127.0.0.1:3000/json",1,0,20.08,20,"2026-08-03T11:47:51.334Z","2026-08-03T11:48:11.412Z",259996,13000.4,909.01,9310,13863,3.35,3,5,7,9,65,1.57,2391833.6,183.981539029568,0,0,0,0,259996
"bun_c050_r03","bun",50,3,"http://127.0.0.1:3000/json",1,0,20.06,20,"2026-08-03T11:53:44.450Z","2026-08-03T11:54:04.505Z",320521,16026.4,1439.05,10617,17017,2.64,2,4,5,7,78,1.62,2948838.4,183.998801976738,0,0,0,0,320521
"bun_c100_r01","bun",100,1,"http://127.0.0.1:3000/json",1,0,20.13,20,"2026-08-03T11:45:09.510Z","2026-08-03T11:45:29.640Z",327864,16394.6,930.89,12471,17080,5.62,5,7,8,11,105,1.93,3016499.2,183.993461261635,0,0,0,0,327864
"bun_c100_r02","bun",100,2,"http://127.0.0.1:3000/json",1,0,20.08,20,"2026-08-03T11:49:27.932Z","2026-08-03T11:49:48.013Z",311713,15586.6,1066.24,12400,16994,5.93,6,7,9,11,79,1.75,2867814.4,183.992301079132,0,0,0,0,311713
"bun_c100_r03","bun",100,3,"http://127.0.0.1:3000/json",1,0,20.1,20,"2026-08-03T11:55:20.745Z","2026-08-03T11:55:40.840Z",320023,16001.2,1259.32,10751,17199,5.76,5,7,9,12,91,1.98,2944332.8,184.006999475039,0,0,0,0,320023
"deno_c010_r01","deno",10,1,"http://127.0.0.1:3000/json",1,0,20.02,20,"2026-08-03T11:42:28.835Z","2026-08-03T11:42:48.858Z",352335,17616,1218.74,13062,18890,0.04,0,0,1,1,34,0.31,3241472,184.007266121708,0,0,0,0,352335
