run_id,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,repetition,started_at,finished_at,status,result_file,error_message
node_c010_r01,node,10,1,5,20,10,1,2026-08-03T11:40:47.260418+00:00,2026-08-03T11:41:21.256791+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\node_c010_r01.json,
bun_c010_r01,bun,10,1,5,20,10,1,2026-08-03T11:41:26.578876+00:00,2026-08-03T11:42:04.424350+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\bun_c010_r01.json,
deno_c010_r01,deno,10,1,5,20,10,1,2026-08-03T11:42:09.671356+00:00,2026-08-03T11:42:48.923550+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\deno_c010_r01.json,
node_c050_r01,node,50,1,5,20,10,1,2026-08-03T11:42:54.233459+00:00,2026-08-03T11:43:21.543815+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\node_c050_r01.json,
bun_c050_r01,bun,50,1,5,20,10,1,2026-08-03T11:43:26.785438+00:00,2026-08-03T11:43:53.582074+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\bun_c050_r01.json,
deno_c050_r01,deno,50,1,5,20,10,1,2026-08-03T11:43:58.810117+00:00,2026-08-03T11:44:25.580556+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\deno_c050_r01.json,
node_c100_r01,node,100,1,5,20,10,1,2026-08-03T11:44:30.809692+00:00,2026-08-03T11:44:57.626008+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\node_c100_r01.json,
bun_c100_r01,bun,100,1,5,20,10,1,2026-08-03T11:45:02.846799+00:00,2026-08-03T11:45:29.707134+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\bun_c100_r01.json,
deno_c100_r01,deno,100,1,5,20,10,1,2026-08-03T11:45:34.967202+00:00,2026-08-03T11:46:02.584684+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\deno_c100_r01.json,
bun_c010_r02,bun,10,1,5,20,10,2,2026-08-03T11:46:07.866161+00:00,2026-08-03T11:46:34.865678+00:00,success,D:\FOLO_PROJECTS\MASTERS\javascript-runtime-performance-study\data\pilot\http\repeated\bun_c010_r02.json,
