"run_id","session_id","sequence","repetition","runtime","shuffle_seed","started_at","finished_at","status","startup_time_ns","startup_time_ms","observed_output","program_file","stdout_log","stderr_log","error_message"
"cold_start_s01_r01_bun",1,1,1,"bun",20260805,"2026-08-04T17:46:51.649342+00:00","2026-08-04T17:46:51.893632+00:00","success",178285500,178.2855,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r01_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r01_bun-stderr.log",NA
"cold_start_s01_r01_node",1,2,1,"node",20260805,"2026-08-04T17:46:52.898820+00:00","2026-08-04T17:46:53.080902+00:00","success",164015500,164.0155,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r01_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r01_node-stderr.log",NA
"cold_start_s01_r01_deno",1,3,1,"deno",20260805,"2026-08-04T17:46:54.087225+00:00","2026-08-04T17:46:54.245572+00:00","success",138049000,138.049,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r01_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r01_deno-stderr.log",NA
"cold_start_s01_r02_node",1,4,2,"node",20260806,"2026-08-04T17:46:55.252151+00:00","2026-08-04T17:46:55.417051+00:00","success",148614900,148.6149,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r02_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r02_node-stderr.log",NA
"cold_start_s01_r02_deno",1,5,2,"deno",20260806,"2026-08-04T17:46:56.422273+00:00","2026-08-04T17:46:56.576824+00:00","success",119818900,119.8189,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r02_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r02_deno-stderr.log",NA
"cold_start_s01_r02_bun",1,6,2,"bun",20260806,"2026-08-04T17:46:57.582514+00:00","2026-08-04T17:46:57.879666+00:00","success",184067900,184.0679,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r02_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r02_bun-stderr.log",NA
"cold_start_s01_r03_deno",1,7,3,"deno",20260807,"2026-08-04T17:46:58.884694+00:00","2026-08-04T17:46:59.126236+00:00","success",136129600,136.1296,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r03_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r03_deno-stderr.log",NA
"cold_start_s01_r03_bun",1,8,3,"bun",20260807,"2026-08-04T17:47:00.189922+00:00","2026-08-04T17:47:00.505176+00:00","success",283001800,283.0018,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r03_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r03_bun-stderr.log",NA
"cold_start_s01_r03_node",1,9,3,"node",20260807,"2026-08-04T17:47:01.517676+00:00","2026-08-04T17:47:01.728621+00:00","success",190983000,190.983,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r03_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r03_node-stderr.log",NA
"cold_start_s01_r04_bun",1,10,4,"bun",20260808,"2026-08-04T17:47:02.735113+00:00","2026-08-04T17:47:02.972567+00:00","success",217945900,217.9459,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r04_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r04_bun-stderr.log",NA
