"run_id","session_id","sequence","repetition","runtime","operation","shuffle_seed","started_at","finished_at","status","bytes","duration_ms","mib_per_second","command_wall_time_ms","exit_code","output_file_validated","output_file_removed","result_file","benchmark_program","temporary_output_file","stdout_log","stderr_log","error_message"
"file_io_s01_r01_bun_write",1,1,1,"bun","write",20260807,"2026-08-06T16:03:51.622077+00:00","2026-08-06T16:03:53.530893+00:00","success",104857600,1090.3109,91.7169588967697,1892.4078,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_bun_write.json","benchmarks/file_io/bun/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_bun_write.bin","results/logs/file_io_final/session_01/file_io_s01_r01_bun_write-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_bun_write-stderr.log",NA
"file_io_s01_r01_deno_write",1,2,1,"deno","write",20260807,"2026-08-06T16:03:58.565359+00:00","2026-08-06T16:03:59.949682+00:00","success",104857600,1085.3985,92.1320602525248,1370.4829,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_deno_write.json","benchmarks/file_io/deno/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_deno_write.bin","results/logs/file_io_final/session_01/file_io_s01_r01_deno_write-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_deno_write-stderr.log",NA
"file_io_s01_r01_node_write",1,3,1,"node","write",20260807,"2026-08-06T16:04:04.997351+00:00","2026-08-06T16:04:05.315070+00:00","success",104857600,66.6502,1500.37059153611,304.0358,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_node_write.json","benchmarks/file_io/node/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_node_write.bin","results/logs/file_io_final/session_01/file_io_s01_r01_node_write-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_node_write-stderr.log",NA
"file_io_s01_r01_deno_read",1,4,1,"deno","read",20260807,"2026-08-06T16:04:10.329515+00:00","2026-08-06T16:04:10.730529+00:00","success",104857600,137.4514,727.529876014358,400.5573,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_deno_read.json","benchmarks/file_io/deno/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_deno_read.bin","results/logs/file_io_final/session_01/file_io_s01_r01_deno_read-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_deno_read-stderr.log",NA
"file_io_s01_r01_bun_read",1,5,1,"bun","read",20260807,"2026-08-06T16:04:15.746021+00:00","2026-08-06T16:04:16.131614+00:00","success",104857600,103.5397,965.813113230963,385.2147,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_bun_read.json","benchmarks/file_io/bun/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_bun_read.bin","results/logs/file_io_final/session_01/file_io_s01_r01_bun_read-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_bun_read-stderr.log",NA
"file_io_s01_r01_node_read",1,6,1,"node","read",20260807,"2026-08-06T16:04:21.143693+00:00","2026-08-06T16:04:21.478792+00:00","success",104857600,88.2447,1133.21253287733,334.662,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r01_node_read.json","benchmarks/file_io/node/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r01_node_read.bin","results/logs/file_io_final/session_01/file_io_s01_r01_node_read-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r01_node_read-stderr.log",NA
"file_io_s01_r02_bun_read",1,7,2,"bun","read",20260808,"2026-08-06T16:04:26.492670+00:00","2026-08-06T16:04:26.885366+00:00","success",104857600,105.5258,947.635554527897,392.2433,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r02_bun_read.json","benchmarks/file_io/bun/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r02_bun_read.bin","results/logs/file_io_final/session_01/file_io_s01_r02_bun_read-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r02_bun_read-stderr.log",NA
"file_io_s01_r02_bun_write",1,8,2,"bun","write",20260808,"2026-08-06T16:04:31.902048+00:00","2026-08-06T16:04:33.269735+00:00","success",104857600,1062.5037,94.1173193090998,1355.3915,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r02_bun_write.json","benchmarks/file_io/bun/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r02_bun_write.bin","results/logs/file_io_final/session_01/file_io_s01_r02_bun_write-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r02_bun_write-stderr.log",NA
"file_io_s01_r02_node_write",1,9,2,"node","write",20260808,"2026-08-06T16:04:38.280988+00:00","2026-08-06T16:04:38.591456+00:00","success",104857600,65.1244,1535.52278408707,298.61,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r02_node_write.json","benchmarks/file_io/node/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r02_node_write.bin","results/logs/file_io_final/session_01/file_io_s01_r02_node_write-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r02_node_write-stderr.log",NA
"file_io_s01_r02_node_read",1,10,2,"node","read",20260808,"2026-08-06T16:04:43.603083+00:00","2026-08-06T16:04:43.925204+00:00","success",104857600,82.117,1217.77463862538,321.6435,0,TRUE,TRUE,"data/raw/file_io/session_01/file_io_s01_r02_node_read.json","benchmarks/file_io/node/benchmark.mjs","data/raw/file_io/temporary_outputs/file_io_s01_r02_node_read.bin","results/logs/file_io_final/session_01/file_io_s01_r02_node_read-stdout.log","results/logs/file_io_final/session_01/file_io_s01_r02_node_read-stderr.log",NA
