"run_id","session_id","sequence","repetition","runtime","workload","shuffle_seed","started_at","ready_at","finished_at","status","allocation_bytes","sample_interval_ms","post_ready_window_ms","pre_ready_samples","post_ready_samples","rss_at_ready_bytes","rss_at_ready_mib","median_post_ready_rss_bytes","median_post_ready_rss_mib","mean_post_ready_rss_bytes","mean_post_ready_rss_mib","peak_post_ready_rss_bytes","peak_post_ready_rss_mib","peak_observed_rss_bytes","peak_observed_rss_mib","ready_payload","sample_file","stdout_log","stderr_log","error_message"
"memory_s01_r01_bun_allocated",1,1,1,"bun","allocated",20260811,"2026-08-10T19:25:44.108925+00:00","2026-08-10T19:25:44.893931+00:00","2026-08-10T19:25:46.976697+00:00","success",104857600,20,2000,32,83,163459072,155.88671875,163336192,155.76953125,163345124.240964,155.778049698795,163459072,155.88671875,163459072,155.88671875,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r01_bun_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_bun_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_bun_allocated-stderr.log",NA
"memory_s01_r01_node_allocated",1,2,1,"node","allocated",20260811,"2026-08-10T19:25:49.006448+00:00","2026-08-10T19:25:49.287380+00:00","2026-08-10T19:25:51.314051+00:00","success",104857600,20,2000,12,84,143962112,137.29296875,143962112,137.29296875,143962112,137.29296875,143962112,137.29296875,143962112,137.29296875,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r01_node_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_node_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_node_allocated-stderr.log",NA
"memory_s01_r01_deno_idle",1,3,1,"deno","idle",20260811,"2026-08-10T19:25:53.409523+00:00","2026-08-10T19:25:53.661340+00:00","2026-08-10T19:25:55.683533+00:00","success",0,20,2000,11,84,44560384,42.49609375,44560384,42.49609375,44560384,42.49609375,44560384,42.49609375,44560384,42.49609375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r01_deno_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_deno_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_deno_idle-stderr.log",NA
"memory_s01_r01_bun_idle",1,4,1,"bun","idle",20260811,"2026-08-10T19:25:57.770418+00:00","2026-08-10T19:25:58.191670+00:00","2026-08-10T19:26:00.209383+00:00","success",0,20,2000,11,84,58585088,55.87109375,58605568,55.890625,58607811.047619,55.8927641369048,58638336,55.921875,58638336,55.921875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r01_bun_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_bun_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_bun_idle-stderr.log",NA
"memory_s01_r01_deno_allocated",1,5,1,"deno","allocated",20260811,"2026-08-10T19:26:02.251144+00:00","2026-08-10T19:26:02.458575+00:00","2026-08-10T19:26:04.482790+00:00","success",104857600,20,2000,9,86,149610496,142.6796875,149610496,142.6796875,149610496,142.6796875,149610496,142.6796875,149610496,142.6796875,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r01_deno_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_deno_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_deno_allocated-stderr.log",NA
"memory_s01_r01_node_idle",1,6,1,"node","idle",20260811,"2026-08-10T19:26:06.512366+00:00","2026-08-10T19:26:06.674696+00:00","2026-08-10T19:26:08.685192+00:00","success",0,20,2000,7,86,38428672,36.6484375,38428672,36.6484375,38428672,36.6484375,38428672,36.6484375,38428672,36.6484375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r01_node_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r01_node_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r01_node_idle-stderr.log",NA
"memory_s01_r02_deno_idle",1,7,2,"deno","idle",20260812,"2026-08-10T19:26:10.700376+00:00","2026-08-10T19:26:10.821149+00:00","2026-08-10T19:26:12.843834+00:00","success",0,20,2000,5,87,44531712,42.46875,44531712,42.46875,44531712,42.46875,44531712,42.46875,44531712,42.46875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r02_deno_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r02_deno_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r02_deno_idle-stderr.log",NA
"memory_s01_r02_node_allocated",1,8,2,"node","allocated",20260812,"2026-08-10T19:26:14.856286+00:00","2026-08-10T19:26:15.096701+00:00","2026-08-10T19:26:17.123330+00:00","success",104857600,20,2000,10,87,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r02_node_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r02_node_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r02_node_allocated-stderr.log",NA
"memory_s01_r02_bun_allocated",1,9,2,"bun","allocated",20260812,"2026-08-10T19:26:19.138824+00:00","2026-08-10T19:26:19.307439+00:00","2026-08-10T19:26:21.331098+00:00","success",104857600,20,2000,7,86,163553280,155.9765625,163586048,156.0078125,163586286.139535,156.008039607558,163606528,156.02734375,163606528,156.02734375,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r02_bun_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r02_bun_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r02_bun_allocated-stderr.log",NA
"memory_s01_r02_bun_idle",1,10,2,"bun","idle",20260812,"2026-08-10T19:26:23.347511+00:00","2026-08-10T19:26:23.505052+00:00","2026-08-10T19:26:25.528207+00:00","success",0,20,2000,7,86,58605568,55.890625,58626048,55.91015625,58627810.2325581,55.9118368459302,58658816,55.94140625,58658816,55.94140625,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r02_bun_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r02_bun_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r02_bun_idle-stderr.log",NA
