session_id,sequence,repetition,runtime,operation,shuffle_seed
1,1,1,bun,write,20260807
1,2,1,deno,write,20260807
1,3,1,node,write,20260807
1,4,1,deno,read,20260807
1,5,1,bun,read,20260807
1,6,1,node,read,20260807
1,7,2,bun,read,20260808
1,8,2,bun,write,20260808
1,9,2,node,write,20260808
1,10,2,node,read,20260808
1,11,2,deno,read,20260808
1,12,2,deno,write,20260808
1,13,3,bun,read,20260809
1,14,3,node,write,20260809
1,15,3,deno,read,20260809
1,16,3,deno,write,20260809
1,17,3,bun,write,20260809
1,18,3,node,read,20260809
1,19,4,bun,write,20260810
1,20,4,node,write,20260810
1,21,4,deno,read,20260810
1,22,4,deno,write,20260810
1,23,4,node,read,20260810
1,24,4,bun,read,20260810
1,25,5,bun,write,20260811
1,26,5,node,write,20260811
1,27,5,deno,read,20260811
1,28,5,bun,read,20260811
1,29,5,deno,write,20260811
1,30,5,node,read,20260811
