run_id,workload,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,cooldown_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p90_latency_ms,p97_5_latency_ms,p99_latency_ms,maximum_latency_ms,total_requests,bytes_per_second,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,warmup_error_log,autocannon_error_log,error_message
http_complex_s01_r01_node_c050,complex,1,1,1,node,50,1,10,30,10,10,20260804,2026-08-03T17:00:08.853396+00:00,2026-08-03T17:00:50.656751+00:00,success,11854.74,3.68,3,5,7,9,51,355617,3105638.4,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_node_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c050-autocannon-error.log,
http_complex_s01_r01_deno_c100,complex,1,2,1,deno,100,1,10,30,10,10,20260804,2026-08-03T17:01:00.659497+00:00,2026-08-03T17:01:43.028143+00:00,success,17049.34,5.37,4,10,13,15,73,511414,3665169.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_deno_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c100-autocannon-error.log,
http_complex_s01_r01_node_c010,complex,1,3,1,node,10,1,10,30,10,10,20260804,2026-08-03T17:01:53.033831+00:00,2026-08-03T17:02:34.653192+00:00,success,12353.4,0.19,0,1,1,1,51,370579,3236573.87,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_node_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c010-autocannon-error.log,
http_complex_s01_r01_deno_c050,complex,1,4,1,deno,50,1,10,30,10,10,20260804,2026-08-03T17:02:44.656828+00:00,2026-08-03T17:03:26.302980+00:00,success,17876,2.31,2,4,5,6,49,536282,3843140.27,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_deno_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c050-autocannon-error.log,
http_complex_s01_r01_bun_c050,complex,1,5,1,bun,50,1,10,30,10,10,20260804,2026-08-03T17:03:36.305885+00:00,2026-08-03T17:04:18.000533+00:00,success,14421.67,3.09,2,5,7,8,576,432642,3100620.8,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_bun_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c050-autocannon-error.log,
http_complex_s01_r01_deno_c010,complex,1,6,1,deno,10,1,10,30,10,10,20260804,2026-08-03T17:04:28.005282+00:00,2026-08-03T17:05:09.596129+00:00,success,17996.94,0.07,0,0,1,1,34,539886,3869218.14,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_deno_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_deno_c010-autocannon-error.log,
http_complex_s01_r01_bun_c100,complex,1,7,1,bun,100,1,10,30,10,10,20260804,2026-08-03T17:05:19.599707+00:00,2026-08-03T17:06:01.269083+00:00,success,14719.47,6.31,6,9,11,14,74,441556,3164518.4,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_bun_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c100-autocannon-error.log,
http_complex_s01_r01_node_c100,complex,1,8,1,node,100,1,10,30,10,10,20260804,2026-08-03T17:06:11.273421+00:00,2026-08-03T17:06:52.955856+00:00,success,11421.8,8.28,7,12,14,17,83,342642,2992418.14,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_node_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_node_c100-autocannon-error.log,
http_complex_s01_r01_bun_c010,complex,1,9,1,bun,10,1,10,30,10,10,20260804,2026-08-03T17:07:02.960191+00:00,2026-08-03T17:07:44.548437+00:00,success,15471.2,0.16,0,0,3,3,37,464118,3326088.54,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r01_bun_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r01_bun_c010-autocannon-error.log,
http_complex_s01_r02_deno_c050,complex,1,10,2,deno,50,1,10,30,10,10,20260805,2026-08-03T17:07:54.552474+00:00,2026-08-03T17:08:36.166878+00:00,success,18326.8,2.24,2,3,5,6,48,549800,3940317.87,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_deno_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c050-autocannon-error.log,
