session_id,sequence,repetition,runtime,connections,shuffle_seed
2,1,6,deno,100,20260809
2,2,6,bun,100,20260809
2,3,6,node,100,20260809
2,4,6,bun,50,20260809
2,5,6,bun,10,20260809
2,6,6,deno,50,20260809
2,7,6,node,10,20260809
2,8,6,deno,10,20260809
2,9,6,node,50,20260809
2,10,7,bun,50,20260810
2,11,7,node,50,20260810
2,12,7,deno,10,20260810
2,13,7,deno,100,20260810
2,14,7,bun,10,20260810
2,15,7,deno,50,20260810
2,16,7,node,100,20260810
2,17,7,node,10,20260810
2,18,7,bun,100,20260810
2,19,8,bun,100,20260811
2,20,8,deno,100,20260811
2,21,8,bun,10,20260811
2,22,8,bun,50,20260811
2,23,8,deno,10,20260811
2,24,8,deno,50,20260811
2,25,8,node,100,20260811
2,26,8,node,50,20260811
2,27,8,node,10,20260811
2,28,9,deno,100,20260812
2,29,9,deno,50,20260812
2,30,9,deno,10,20260812
2,31,9,bun,10,20260812
2,32,9,bun,50,20260812
2,33,9,bun,100,20260812
2,34,9,node,100,20260812
2,35,9,node,50,20260812
2,36,9,node,10,20260812
2,37,10,node,50,20260813
2,38,10,deno,100,20260813
2,39,10,deno,10,20260813
2,40,10,node,10,20260813
2,41,10,bun,10,20260813
2,42,10,bun,100,20260813
2,43,10,deno,50,20260813
2,44,10,bun,50,20260813
2,45,10,node,100,20260813
