run_id,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p99_latency_ms,total_requests,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,autocannon_error_log,error_message
http_s01_r01_node_c050,1,1,1,node,50,1,10,30,10,20260804,2026-08-03T14:23:11.512885+00:00,2026-08-03T14:23:53.341600+00:00,success,15958.4,2.76,2,5,478745,0,0,0,0,data/raw/http/session_01/http_s01_r01_node_c050.json,results/logs/http_final/session_01/http_s01_r01_node_c050-server-output.log,results/logs/http_final/session_01/http_s01_r01_node_c050-server-error.log,results/logs/http_final/session_01/http_s01_r01_node_c050-autocannon-error.log,
http_s01_r01_deno_c100,1,2,1,deno,100,1,10,30,10,20260804,2026-08-03T14:24:03.353843+00:00,2026-08-03T14:24:45.099678+00:00,success,17740.67,5.19,5,10,532204,0,0,0,0,data/raw/http/session_01/http_s01_r01_deno_c100.json,results/logs/http_final/session_01/http_s01_r01_deno_c100-server-output.log,results/logs/http_final/session_01/http_s01_r01_deno_c100-server-error.log,results/logs/http_final/session_01/http_s01_r01_deno_c100-autocannon-error.log,
http_s01_r01_node_c010,1,3,1,node,10,1,10,30,10,20260804,2026-08-03T14:24:55.121083+00:00,2026-08-03T14:25:37.682132+00:00,success,16192.27,0.05,0,1,485774,0,0,0,0,data/raw/http/session_01/http_s01_r01_node_c010.json,results/logs/http_final/session_01/http_s01_r01_node_c010-server-output.log,results/logs/http_final/session_01/http_s01_r01_node_c010-server-error.log,results/logs/http_final/session_01/http_s01_r01_node_c010-autocannon-error.log,
http_s01_r01_deno_c050,1,4,1,deno,50,1,10,30,10,20260804,2026-08-03T14:25:47.694733+00:00,2026-08-03T14:26:29.337569+00:00,success,17838.67,2.32,2,5,535142,0,0,0,0,data/raw/http/session_01/http_s01_r01_deno_c050.json,results/logs/http_final/session_01/http_s01_r01_deno_c050-server-output.log,results/logs/http_final/session_01/http_s01_r01_deno_c050-server-error.log,results/logs/http_final/session_01/http_s01_r01_deno_c050-autocannon-error.log,
http_s01_r01_bun_c050,1,5,1,bun,50,1,10,30,10,20260804,2026-08-03T14:26:39.349915+00:00,2026-08-03T14:27:20.973675+00:00,success,18796.41,2.15,2,6,563840,0,0,0,0,data/raw/http/session_01/http_s01_r01_bun_c050.json,results/logs/http_final/session_01/http_s01_r01_bun_c050-server-output.log,results/logs/http_final/session_01/http_s01_r01_bun_c050-server-error.log,results/logs/http_final/session_01/http_s01_r01_bun_c050-autocannon-error.log,
http_s01_r01_deno_c010,1,6,1,deno,10,1,10,30,10,20260804,2026-08-03T14:27:30.985947+00:00,2026-08-03T14:28:13.519535+00:00,success,18875.34,0.04,0,1,566249,0,0,0,0,data/raw/http/session_01/http_s01_r01_deno_c010.json,results/logs/http_final/session_01/http_s01_r01_deno_c010-server-output.log,results/logs/http_final/session_01/http_s01_r01_deno_c010-server-error.log,results/logs/http_final/session_01/http_s01_r01_deno_c010-autocannon-error.log,
http_s01_r01_bun_c100,1,7,1,bun,100,1,10,30,10,20260804,2026-08-03T14:28:23.533921+00:00,2026-08-03T14:29:05.440179+00:00,success,18003.34,5.08,5,10,540047,0,0,0,0,data/raw/http/session_01/http_s01_r01_bun_c100.json,results/logs/http_final/session_01/http_s01_r01_bun_c100-server-output.log,results/logs/http_final/session_01/http_s01_r01_bun_c100-server-error.log,results/logs/http_final/session_01/http_s01_r01_bun_c100-autocannon-error.log,
http_s01_r01_node_c100,1,8,1,node,100,1,10,30,10,20260804,2026-08-03T14:29:15.450097+00:00,2026-08-03T14:29:57.099668+00:00,success,14983.87,6.11,6,13,449516,0,0,0,0,data/raw/http/session_01/http_s01_r01_node_c100.json,results/logs/http_final/session_01/http_s01_r01_node_c100-server-output.log,results/logs/http_final/session_01/http_s01_r01_node_c100-server-error.log,results/logs/http_final/session_01/http_s01_r01_node_c100-autocannon-error.log,
http_s01_r01_bun_c010,1,9,1,bun,10,1,10,30,10,20260804,2026-08-03T14:30:07.112153+00:00,2026-08-03T14:30:49.672509+00:00,success,17684.14,0.12,0,3,530525,0,0,0,0,data/raw/http/session_01/http_s01_r01_bun_c010.json,results/logs/http_final/session_01/http_s01_r01_bun_c010-server-output.log,results/logs/http_final/session_01/http_s01_r01_bun_c010-server-error.log,results/logs/http_final/session_01/http_s01_r01_bun_c010-autocannon-error.log,
http_s01_r02_deno_c050,1,10,2,deno,50,1,10,30,10,20260805,2026-08-03T14:30:59.685266+00:00,2026-08-03T14:31:41.344860+00:00,success,20639.87,1.92,2,5,619223,0,0,0,0,data/raw/http/session_01/http_s01_r02_deno_c050.json,results/logs/http_final/session_01/http_s01_r02_deno_c050-server-output.log,results/logs/http_final/session_01/http_s01_r02_deno_c050-server-error.log,results/logs/http_final/session_01/http_s01_r02_deno_c050-autocannon-error.log,
http_s01_r02_node_c010,1,11,2,node,10,1,10,30,10,20260805,2026-08-03T14:31:51.354898+00:00,2026-08-03T14:32:32.917689+00:00,success,16488.14,0.06,0,1,494651,0,0,0,0,data/raw/http/session_01/http_s01_r02_node_c010.json,results/logs/http_final/session_01/http_s01_r02_node_c010-server-output.log,results/logs/http_final/session_01/http_s01_r02_node_c010-server-error.log,results/logs/http_final/session_01/http_s01_r02_node_c010-autocannon-error.log,
http_s01_r02_bun_c050,1,12,2,bun,50,1,10,30,10,20260805,2026-08-03T14:32:42.932235+00:00,2026-08-03T14:33:24.744011+00:00,success,18428.14,2.23,2,5,552853,0,0,0,0,data/raw/http/session_01/http_s01_r02_bun_c050.json,results/logs/http_final/session_01/http_s01_r02_bun_c050-server-output.log,results/logs/http_final/session_01/http_s01_r02_bun_c050-server-error.log,results/logs/http_final/session_01/http_s01_r02_bun_c050-autocannon-error.log,
http_s01_r02_bun_c010,1,13,2,bun,10,1,10,30,10,20260805,2026-08-03T14:33:34.757793+00:00,2026-08-03T14:34:17.307428+00:00,success,16671.87,0.15,0,3,500129,0,0,0,0,data/raw/http/session_01/http_s01_r02_bun_c010.json,results/logs/http_final/session_01/http_s01_r02_bun_c010-server-output.log,results/logs/http_final/session_01/http_s01_r02_bun_c010-server-error.log,results/logs/http_final/session_01/http_s01_r02_bun_c010-autocannon-error.log,
