session_id,sequence,repetition,runtime,connections,shuffle_seed
1,1,1,node,50,20260804
1,2,1,deno,100,20260804
1,3,1,node,10,20260804
1,4,1,deno,50,20260804
1,5,1,bun,50,20260804
1,6,1,deno,10,20260804
1,7,1,bun,100,20260804
1,8,1,node,100,20260804
1,9,1,bun,10,20260804
1,10,2,deno,50,20260805
1,11,2,node,10,20260805
1,12,2,bun,50,20260805
1,13,2,bun,10,20260805
1,14,2,node,50,20260805
1,15,2,bun,100,20260805
1,16,2,deno,10,20260805
1,17,2,node,100,20260805
1,18,2,deno,100,20260805
1,19,3,deno,10,20260806
1,20,3,node,50,20260806
1,21,3,deno,100,20260806
1,22,3,deno,50,20260806
1,23,3,node,10,20260806
1,24,3,node,100,20260806
1,25,3,bun,10,20260806
1,26,3,bun,50,20260806
1,27,3,bun,100,20260806
1,28,4,bun,50,20260807
1,29,4,deno,50,20260807
1,30,4,node,50,20260807
1,31,4,deno,100,20260807
1,32,4,bun,10,20260807
1,33,4,node,100,20260807
1,34,4,deno,10,20260807
1,35,4,bun,100,20260807
1,36,4,node,10,20260807
1,37,5,bun,10,20260808
1,38,5,bun,100,20260808
1,39,5,deno,50,20260808
1,40,5,node,50,20260808
1,41,5,bun,50,20260808
1,42,5,node,100,20260808
1,43,5,deno,10,20260808
1,44,5,node,10,20260808
1,45,5,deno,100,20260808
