session_id,sequence,repetition,runtime,workload,shuffle_seed
2,1,11,deno,allocated,20260821
2,2,11,deno,idle,20260821
2,3,11,node,allocated,20260821
2,4,11,bun,idle,20260821
2,5,11,bun,allocated,20260821
2,6,11,node,idle,20260821
2,7,12,bun,allocated,20260822
2,8,12,deno,allocated,20260822
2,9,12,bun,idle,20260822
2,10,12,node,allocated,20260822
2,11,12,node,idle,20260822
2,12,12,deno,idle,20260822
2,13,13,bun,idle,20260823
2,14,13,node,idle,20260823
2,15,13,deno,idle,20260823
2,16,13,node,allocated,20260823
2,17,13,bun,allocated,20260823
2,18,13,deno,allocated,20260823
2,19,14,deno,idle,20260824
2,20,14,deno,allocated,20260824
2,21,14,node,allocated,20260824
2,22,14,node,idle,20260824
2,23,14,bun,idle,20260824
2,24,14,bun,allocated,20260824
2,25,15,deno,allocated,20260825
2,26,15,deno,idle,20260825
2,27,15,bun,allocated,20260825
2,28,15,node,allocated,20260825
2,29,15,bun,idle,20260825
2,30,15,node,idle,20260825
2,31,16,bun,idle,20260826
2,32,16,node,allocated,20260826
2,33,16,deno,allocated,20260826
2,34,16,node,idle,20260826
2,35,16,deno,idle,20260826
2,36,16,bun,allocated,20260826
2,37,17,bun,idle,20260827
2,38,17,node,idle,20260827
2,39,17,bun,allocated,20260827
2,40,17,deno,allocated,20260827
2,41,17,node,allocated,20260827
2,42,17,deno,idle,20260827
2,43,18,node,idle,20260828
2,44,18,deno,idle,20260828
2,45,18,bun,allocated,20260828
2,46,18,node,allocated,20260828
2,47,18,deno,allocated,20260828
2,48,18,bun,idle,20260828
2,49,19,node,allocated,20260829
2,50,19,node,idle,20260829
2,51,19,deno,allocated,20260829
2,52,19,bun,idle,20260829
2,53,19,bun,allocated,20260829
2,54,19,deno,idle,20260829
2,55,20,deno,idle,20260830
2,56,20,bun,idle,20260830
2,57,20,deno,allocated,20260830
2,58,20,bun,allocated,20260830
2,59,20,node,allocated,20260830
2,60,20,node,idle,20260830
