latency_metric,workload,connections,runtime,n,mean_ms,median_ms,sd_ms,se_ms,ci_margin,ci_lower,ci_upper,iqr_ms,min_ms,max_ms
Mean Latency,Simple,10,Node.js,10,0.049,0.05,0.005676462121975466,0.001795054935711501,0.004060696380436044,0.044939303619563956,0.05306069638043605,0,0.04,0.06
Mean Latency,Simple,10,Bun,10,0.119,0.12,0.011972189997378644,0.0037859388972001813,0.008564388794217727,0.11043561120578227,0.12756438879421772,0.009999999999999995,0.11,0.15
Mean Latency,Simple,10,Deno,10,0.035,0.03,0.007071067811865477,0.0022360679774997903,0.005058337191804846,0.029941662808195157,0.04005833719180485,0.010000000000000002,0.03,0.05
Mean Latency,Simple,50,Node.js,10,2.746,2.76,0.11635195648452926,0.036793719270791024,0.08323317559440625,2.6627668244055935,2.8292331755944065,0.06499999999999995,2.53,2.95
Mean Latency,Simple,50,Bun,10,2.093,2.0700000000000003,0.0788881064123949,0.024946609656090225,0.05643315172105537,2.0365668482789445,2.1494331517210554,0.11500000000000021,1.99,2.23
Mean Latency,Simple,50,Deno,10,2.1109999999999998,2.13,0.142318110036792,0.045004938000673254,0.10180824285951212,2.0091917571404876,2.212808242859512,0.06500000000000039,1.83,2.32
Mean Latency,Simple,100,Node.js,10,6.122,5.93,0.7189622150479587,0.22735581511513336,0.5143145856665233,5.607685414333477,6.636314585666523,0.2474999999999996,5.68,8.13
Mean Latency,Simple,100,Bun,10,5.192,5.140000000000001,0.26110023618015604,0.0825671443937195,0.1867798571020462,5.005220142897954,5.378779857102046,0.09499999999999975,4.94,5.85
Mean Latency,Simple,100,Deno,10,4.85,4.984999999999999,0.341402336775183,0.10796089827134427,0.24422451932664976,4.6057754806733495,5.09422451932665,0.6099999999999994,4.37,5.19
Mean Latency,Complex,10,Node.js,10,0.184,0.195,0.021186998109427604,0.00669991708074726,0.015156265414366453,0.16884373458563354,0.19915626541436646,0.027500000000000024,0.14,0.2
Mean Latency,Complex,10,Bun,10,0.165,0.165,0.013540064007726603,0.004281744192888377,0.009685978295212061,0.15531402170478795,0.17468597829521207,0.017500000000000016,0.15,0.19
Mean Latency,Complex,10,Deno,10,0.069,0.07,0.009944289260117532,0.003144660377352201,0.007113715997194988,0.06188628400280502,0.07611371599719499,0,0.05,0.09
Mean Latency,Complex,50,Node.js,10,3.759,3.7649999999999997,0.0841229259278745,0.026602004936971686,0.06017791601296371,3.6988220839870363,3.8191779160129635,0.11499999999999932,3.65,3.92
Mean Latency,Complex,50,Bun,10,2.984,2.97,0.04993328882953059,0.015790292376435984,0.03572012300203255,2.9482798769979675,3.0197201230020325,0.03750000000000009,2.91,3.09
Mean Latency,Complex,50,Deno,10,2.303,2.3200000000000003,0.07513691207093592,0.02376037784959565,0.05374970894325461,2.2492502910567453,2.3567497089432545,0.050000000000000266,2.15,2.44
Mean Latency,Complex,100,Node.js,10,8.188,8.190000000000001,0.16665333279995712,0.05270041113059106,0.1192166125214768,8.068783387478524,8.307216612521477,0.22249999999999837,7.99,8.51
Mean Latency,Complex,100,Bun,10,6.196,6.215,0.11354881475970297,0.03590728802532062,0.08122792880313726,6.114772071196862,6.277227928803137,0.13250000000000028,5.97,6.35
Mean Latency,Complex,100,Deno,10,5.363,5.37,0.08551153268549352,0.027041120949809434,0.06117126544670401,5.301828734553297,5.424171265446704,0.03500000000000014,5.2,5.5
P99 Latency,Simple,10,Node.js,10,1,1,0,0,0,1,1,0,1,1
P99 Latency,Simple,10,Bun,10,3,3,0,0,0,3,3,0,3,3
P99 Latency,Simple,10,Deno,10,1,1,0,0,0,1,1,0,1,1
P99 Latency,Simple,50,Node.js,10,5.6,5.5,0.699205898780101,0.22110831935702663,0.5001817683877707,5.099818231612229,6.10018176838777,1,5,7
P99 Latency,Simple,50,Bun,10,5.4,5,0.5163977794943222,0.1632993161855452,0.3694087177891799,5.03059128221082,5.76940871778918,1,5,6
P99 Latency,Simple,50,Deno,10,5,5,0,0,0,5,5,0,5,5
P99 Latency,Simple,100,Node.js,10,13.7,13,2.7507574714370344,0.8698658900466593,1.9677733538428859,11.732226646157113,15.667773353842886,1.75,12,21
P99 Latency,Simple,100,Bun,10,11,10,2.211083193570267,0.6992058987801011,1.5817136321961622,9.418286367803837,12.581713632196163,0.75,10,17
P99 Latency,Simple,100,Deno,10,10.1,10,1.1972189997378648,0.37859388972001823,0.8564388794217729,9.243561120578226,10.956438879421773,0.75,9,13
P99 Latency,Complex,10,Node.js,10,1.1,1,0.31622776601683794,0.09999999999999999,0.22621571627982048,0.8737842837201796,1.3262157162798205,0,1,2
P99 Latency,Complex,10,Bun,10,3.3,3,0.48304589153964794,0.15275252316519466,0.3455502144136438,2.954449785586356,3.645550214413644,0.75,3,4
P99 Latency,Complex,10,Deno,10,1,1,0,0,0,1,1,0,1,1
P99 Latency,Complex,50,Node.js,10,8.4,8,0.5163977794943222,0.1632993161855452,0.3694087177891799,8.030591282210821,8.76940871778918,1,8,9
P99 Latency,Complex,50,Bun,10,7.8,8,0.4216370213557839,0.13333333333333333,0.30162095503976066,7.498379044960239,8.10162095503976,0,7,8
P99 Latency,Complex,50,Deno,10,6.6,7,0.5163977794943222,0.1632993161855452,0.3694087177891799,6.23059128221082,6.96940871778918,1,6,7
P99 Latency,Complex,100,Node.js,10,17.4,17,1.776388345929897,0.5617433182117572,1.2707516709467577,16.12924832905324,18.670751670946757,1.5,16,22
P99 Latency,Complex,100,Bun,10,13.4,13,0.699205898780101,0.22110831935702663,0.5001817683877707,12.89981823161223,13.900181768387771,0.75,13,15
P99 Latency,Complex,100,Deno,10,15,15,0.6666666666666666,0.21081851067789192,0.47690460398044304,14.523095396019556,15.476904603980444,0,14,16
