workload,connections,group1,group2,test_method,estimate,difference_ci_lower,difference_ci_upper,p_holm,significant,effect_type,effect_size,effect_ci_lower,effect_ci_upper
Complex,10,Bun,Deno,Paired t-test,0.096,0.08831014432271884,0.10368985567728116,7.2360073163657685e-9,Yes,Cohen's dz,8.930500890423007,4.838050291445832,12.854333196278109
Complex,10,Node.js,Bun,Paired t-test,0.019000000000000006,0.007101254023728171,0.03089874597627184,0.025390625,Yes,Cohen's dz,1.1422868628800888,0.3154422059270961,1.9329861962651593
Complex,10,Node.js,Deno,Paired t-test,0.115,0.10059384936271348,0.12940615063728653,3.122954578350034e-7,Yes,Cohen's dz,5.710480631356338,3.044882281385051,8.367817843153302
Complex,50,Bun,Deno,Paired t-test,0.681,0.618322867986679,0.743677132013321,2.3424381837074144e-8,Yes,Cohen's dz,7.772500708272436,4.19589032009907,11.348450258659946
Complex,50,Node.js,Bun,Paired t-test,0.7749999999999999,0.6932105128199848,0.856789487180015,7.384989101758665e-8,Yes,Cohen's dz,6.778396848326618,3.6425539159329663,9.910203341172503
Complex,50,Node.js,Deno,Paired t-test,1.456,1.409248751968837,1.502751248031163,2.1276794639942272e-12,Yes,Cohen's dz,22.278756160670124,11.897085598930508,31.970618515728027
Complex,100,Bun,Deno,Wilcoxon signed-rank,0.8399999999999999,0.7049999999999996,0.9449999999999998,0.025390625,Yes,Rank-biserial correlation,1,1,1
Complex,100,Node.js,Bun,Wilcoxon signed-rank,1.995,1.8850000000000002,2.09,0.025390625,Yes,Rank-biserial correlation,1,1,1
Complex,100,Node.js,Deno,Wilcoxon signed-rank,2.7949999999999995,2.6700000000000004,2.98,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,10,Bun,Deno,Wilcoxon signed-rank,0.08,0.07999999999999999,0.09499999999999999,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,10,Node.js,Bun,Wilcoxon signed-rank,-0.06999999999999999,-0.075,-0.065,0.025390625,Yes,Rank-biserial correlation,-1,-1,-1
Simple,10,Node.js,Deno,Wilcoxon signed-rank,0.015000000000000003,0.010000000000000002,0.02,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,50,Bun,Deno,Wilcoxon signed-rank,-0.05999999999999983,-0.12,0.10499999999999998,0.5390625,No,Rank-biserial correlation,-0.23636363636363633,-0.7352875527412106,0.4287009615113861
Simple,50,Node.js,Bun,Wilcoxon signed-rank,0.6549999999999999,0.5699999999999998,0.74,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,50,Node.js,Deno,Wilcoxon signed-rank,0.635,0.5150000000000001,0.7649999999999999,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,100,Bun,Deno,Wilcoxon signed-rank,0.3500000000000001,4.440892098500626e-16,0.6799999999999997,0.09765625,No,Rank-biserial correlation,0.709090909090909,0.18400985633851302,0.9193135528175288
Simple,100,Node.js,Bun,Wilcoxon signed-rank,0.75,0.5999999999999996,1.895,0.025390625,Yes,Rank-biserial correlation,1,1,1
Simple,100,Node.js,Deno,Wilcoxon signed-rank,1.105,0.8450000000000002,2.005000000000001,0.025390625,Yes,Rank-biserial correlation,1,1,1
