workload,connections,group1,group2,test_method,nonzero_pairs,median_difference,median_ci_lower,median_ci_upper,p_holm,significant,effect_size,effect_ci_lower,effect_ci_upper
Complex,10,Bun,Deno,Exact paired signed-rank,10,2,2,3,0.03515625,Yes,1,1,1
Complex,10,Node.js,Bun,Exact paired signed-rank,10,-2,-2.5,-2,0.03515625,Yes,-1,-1,-1
Complex,10,Node.js,Deno,Exact paired signed-rank,1,0,0,0,1,No,1,1,1
Complex,50,Bun,Deno,Exact paired signed-rank,8,1,0.5,2,0.0703125,No,1,1,1
Complex,50,Node.js,Bun,Exact paired signed-rank,6,1,0,1,0.21875,No,1,1,1
Complex,50,Node.js,Deno,Exact paired signed-rank,10,2,1,2.5,0.03515625,Yes,1,1,1
Complex,100,Bun,Deno,Exact paired signed-rank,9,-2,-2,-1,0.04296875,Yes,-1,-1,-1
Complex,100,Node.js,Bun,Exact paired signed-rank,10,4,3,4.5,0.03515625,Yes,1,1,1
Complex,100,Node.js,Deno,Exact paired signed-rank,10,2,1,2.5,0.03515625,Yes,1,1,1
Simple,10,Bun,Deno,Exact paired signed-rank,10,2,2,2,0.03515625,Yes,1,1,1
Simple,10,Node.js,Bun,Exact paired signed-rank,10,-2,-2,-2,0.03515625,Yes,-1,-1,-1
Simple,10,Node.js,Deno,Exact paired signed-rank,0,0,0,0,1,No,NA,NA,NA
Simple,50,Bun,Deno,Exact paired signed-rank,4,0,0,1,0.625,No,1,1,1
Simple,50,Node.js,Bun,Exact paired signed-rank,4,0,0,1,1,No,0.5,-0.5,1
Simple,50,Node.js,Deno,Exact paired signed-rank,5,0.5,0,1,0.375,No,1,1,1
Simple,100,Bun,Deno,Exact paired signed-rank,6,0,-0.5,2,1,No,0.42857142857142855,-0.5011904761904761,1
Simple,100,Node.js,Bun,Exact paired signed-rank,10,2,1,3,0.125,No,0.8363636363636363,0.41818181818181815,1
Simple,100,Node.js,Deno,Exact paired signed-rank,10,3.5,2,4.5,0.05859375,No,0.9454545454545454,0.7272727272727273,1
