workload,connections,runtime,n,mean_rps,median_rps,sd_rps,se_rps,ci_margin,ci_lower,ci_upper,iqr_rps,min_rps,max_rps
Simple,10,Node.js,10,16859.003,16823,388.0141491134339,122.70084755706543,277.5686011826262,16581.434398817375,17136.571601182626,444.7000000000007,16192.27,17446
Simple,10,Bun,10,18049.564,18139.27,605.3813390692958,191.4383884421653,433.0637216489893,17616.50027835101,18482.627721648987,584.5999999999985,16671.87,18841.47
Simple,10,Deno,10,20040.024999999998,19302.805,1594.358184915032,504.1803270463412,1140.5351381698222,18899.489861830174,21180.56013816982,2635.229999999996,17969.67,22207.34
Simple,50,Node.js,10,16025.443,15955.735,538.9635426765379,170.43523706512227,385.5512923200764,15639.891707679923,16410.994292320076,477.7624999999989,15065.34,16972.27
Simple,50,Bun,10,19256.599,19350.14,559.8658681912617,177.04513276720013,400.50391522788095,18856.095084772118,19657.10291522788,909.7949999999983,18428.14,20018.27
Simple,50,Deno,10,19018.884,18708.405,1110.9443687261955,351.31145589127107,794.7217263175045,18224.162273682494,19813.605726317503,513.3999999999978,17838.67,21345.47
Simple,100,Node.js,10,15099.964,15398.67,1259.9088480715138,398.4181604105025,901.2844953615024,14198.679504638498,16001.248495361502,581.835000000001,11643.34,16009.87
Simple,100,Bun,10,17642.217,17766.67,755.76885384723,238.99509627721562,540.6444689171499,17101.57253108285,18182.86146891715,347.7674999999981,15794.8,18437.2
Simple,100,Deno,10,19009.923,18394.535,1316.2685180467977,416.24065294023274,941.6017744965492,18068.32122550345,19951.52477449655,2396.0700000000033,17740.67,20878.54
Complex,10,Node.js,10,12471.476,12340.135,259.94247458492293,82.20102803087885,185.9516443494286,12285.524355650572,12657.42764434943,353.53499999999985,12197.74,12902.47
Complex,10,Bun,10,15050.237000000001,15044.005000000001,417.1529737278639,131.9153529692431,298.4132606024267,14751.823739397574,15348.650260602428,636.2699999999986,14371,15642
Complex,10,Deno,10,18172.071,18212.47,375.5147539474611,118.74819174716819,268.6270725301912,17903.44392746981,18440.69807253019,253.26750000000175,17496.41,18970.8
Complex,50,Node.js,10,11696.363,11769.07,227.12168931360685,71.82218442561222,162.47306894621235,11533.889931053787,11858.836068946212,278.39999999999964,11284.2,12008.07
Complex,50,Bun,10,14857.543,14897.2,226.9123954818979,71.7559999047698,162.3233491583223,14695.219650841678,15019.866349158321,210.23500000000058,14421.67,15212.8
Complex,50,Deno,10,17952.023,17881.8,473.51319657898085,149.73802033366294,338.73093524101887,17613.29206475898,18290.75393524102,332.40000000000146,17078.07,18918
Complex,100,Node.js,10,11546.536,11536.335,212.30725162681878,67.13744789112359,151.87545863889645,11394.660541361103,11698.411458638897,290.8674999999985,11132.47,11796.87
Complex,100,Bun,10,14989.417,14936.535,272.6944554319601,86.23355844642691,195.0738619131623,14794.343138086837,15184.490861913162,342.66250000000036,14645.6,15539.74
Complex,100,Deno,10,17070.438000000002,17057.004999999997,247.1618550127293,78.15944125525297,176.80893987587604,16893.629060124127,17247.246939875877,98.34749999999985,16678,17549.74
