workload,connections,group1,group2,test_method,estimate,difference_ci_lower,difference_ci_upper,p_holm,significant,effect_type,effect_size,effect_ci_lower,effect_ci_upper
Complex,10,Bun,Deno,Paired t-test,-3121.833999999999,-3461.5619402846114,-2782.1060597153864,9.039787506382095e-8,Yes,Cohen's dz,-6.57357033785064,-9.614122956568,-3.528226225966266
Complex,10,Node.js,Bun,Paired t-test,-2578.7610000000004,-2843.3226656673364,-2314.1993343326644,5.7505367179752434e-8,Yes,Cohen's dz,-6.972795871785199,-10.191301047797552,-3.750950178493911
Complex,10,Node.js,Deno,Paired t-test,-5700.594999999999,-5998.750528664541,-5402.439471335459,1.6024757416343225e-10,Yes,Cohen's dz,-13.67729124345705,-19.646161725408362,-7.456652580963008
Complex,50,Bun,Deno,Paired t-test,-3094.4799999999996,-3450.1832764078576,-2738.7767235921415,1.360789128415294e-7,Yes,Cohen's dz,-6.223326534248359,-9.108093003517526,-3.3324206349108585
Complex,50,Node.js,Bun,Paired t-test,-3161.18,-3430.0798688044574,-2892.2801311955427,1.1627588652178475e-8,Yes,Cohen's dz,-8.409717543078473,-12.110262920864843,-4.549514298955033
Complex,50,Node.js,Deno,Paired t-test,-6255.66,-6522.014233703647,-5989.305766296353,2.6820125315500827e-11,Yes,Cohen's dz,-16.801045435543887,-24.12060166830099,-9.174247558926679
Complex,100,Bun,Deno,Wilcoxon signed-rank,-2094.9350000000004,-2382.0700000000006,-1734.0650000000005,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Complex,100,Node.js,Bun,Wilcoxon signed-rank,-3405.4000000000005,-3620.8050000000003,-3290.9350000000004,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Complex,100,Node.js,Deno,Wilcoxon signed-rank,-5465.635,-5873.270000000001,-5332.135,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Simple,10,Bun,Deno,Paired t-test,-1990.4609999999993,-3016.3370603037415,-964.5849396962569,0.017476816218037792,Yes,Cohen's dz,-1.3879747052423548,-2.25431366121512,-0.48525224207586165
Simple,10,Node.js,Bun,Paired t-test,-1190.5609999999997,-1561.0992624945563,-820.0227375054429,5.666073180919328e-4,Yes,Cohen's dz,-2.2984833674008276,-3.4970983249743584,-1.0696198232938197
Simple,10,Node.js,Deno,Paired t-test,-3181.021999999999,-4291.24372456897,-2070.8002754310282,0.001252555200218966,Yes,Cohen's dz,-2.049650088254284,-3.1518131277963097,-0.9151111757775952
Simple,50,Bun,Deno,Wilcoxon signed-rank,670.9399999999987,-699.2000000000007,987.7349999999988,0.4921875,No,Rank-biserial correlation,0.2727272727272727,-0.3964376585409052,0.7526461231109405
Simple,50,Node.js,Bun,Wilcoxon signed-rank,-3248.869999999999,-3673.535,-2838.01,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Simple,50,Node.js,Deno,Wilcoxon signed-rank,-2831.0700000000006,-3846.7299999999996,-2183.4700000000003,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Simple,100,Bun,Deno,Wilcoxon signed-rank,-1363.5999999999985,-2561.000000000002,-131.1999999999989,0.0390625,Yes,Rank-biserial correlation,-0.8181818181818181,-0.9517944965511628,-0.4235986080892982
Simple,100,Node.js,Bun,Wilcoxon signed-rank,-2233.470000000001,-4343.5999999999995,-1829.0649999999996,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
Simple,100,Node.js,Deno,Wilcoxon signed-rank,-3742.0649999999987,-5016.87,-2605.7999999999984,0.017578125,Yes,Rank-biserial correlation,-1,-1,-1
