latency_metric,connections,runtime,Simple,Complex,absolute_change_ms,percent_change
Mean Latency,10,Bun,0.119,0.165,0.04600000000000001,38.65546218487396
Mean Latency,10,Deno,0.035,0.069,0.034,97.14285714285714
Mean Latency,10,Node.js,0.049,0.184,0.135,275.51020408163265
Mean Latency,50,Bun,2.093,2.984,0.891,42.570473005255614
Mean Latency,50,Deno,2.111,2.303,0.19199999999999973,9.095215537659863
Mean Latency,50,Node.js,2.746,3.759,1.013,36.89002184996358
Mean Latency,100,Bun,5.192,6.196,1.0039999999999996,19.33744221879814
Mean Latency,100,Deno,4.85,5.363,0.5130000000000008,10.577319587628883
Mean Latency,100,Node.js,6.122,8.188,2.0660000000000007,33.7471414570402
P99 Latency,10,Bun,3,3.3,0.2999999999999998,9.999999999999993
P99 Latency,10,Deno,1,1,0,0
P99 Latency,10,Node.js,1,1.1,0.10000000000000009,10.000000000000009
P99 Latency,50,Bun,5.4,7.8,2.3999999999999995,44.44444444444443
P99 Latency,50,Deno,5,6.6,1.5999999999999996,31.999999999999996
P99 Latency,50,Node.js,5.6,8.4,2.8000000000000007,50.000000000000014
P99 Latency,100,Bun,11,13.4,2.4000000000000004,21.818181818181824
P99 Latency,100,Deno,10.1,15,4.9,48.51485148514852
P99 Latency,100,Node.js,13.7,17.4,3.6999999999999993,27.007299270072988
